artist,song,comment,MIDI / PDF,lyrics
Frans Duijts,Je Hebt Gelogen,**,,"The last bar is closed
Walk through the rain in the neon light
The moon rises, shines the asphalt
See you face
What have I done to you
How could I let you just stand
I let your hand go, was God los
And I left
I miss the smile in your eyes
I miss you Can not believe
I miss you I miss you day and night
I go to a dating site
She looks like your, you were a woman m
I never wanted to lose you
I do not get out of my bed
No daylight, television or city noise
Not shave, clean clothes
It makes me nothing more from
I miss the smile in your eyes
I miss you Can not believe
I miss you I miss you day and night
I miss you I miss you
I miss you day and night
I miss the warmth around me
I miss you I can not do it alone
I miss you I miss you day and night"
Frans Duijts,Wat Overblijft,,,
Koos Alberts,Ik Verscheurde Je Foto,,,"You will never come back
Beyond ... it all happened so quickly
All those acquaintances who ask
How about us going
It's too late, it's too late
I tore your picture
""I pray you letters burned
In my heart I cry
But I do casually
I tore your picture
But I still see you
Because I know I'll never forget
Oh, there's still hope
That you ever come back to me
Never, you said: Never
Is it all so simply ignore
I tore your picture
""I pray you letters burned
In my heart I cry
But I do casually
I tore your picture
But I still see you
Because I know I'll never forget
I tore your picture
""I pray you letters burned
In my heart I cry
But I do casually
I tore your picture
But I still see you
Because I know I'll never forget
Because I know I'll never vergeeeeeeeeeeet"
Corry Konings,Alleen En Gelukkig,,,"My night is so empty without you by my side
Your arms, I slept wonderfully in
My night was a chilly affair for me
I miss so much heat, but above all I miss one, which
Are you
refr .:
The nights are cold and lonely
The star of gold are worth nothing
Because I long for you
The days that are not trusted because everything goes
Wrong
Only, it's so weird, because I long for you
We did it together so fine
Why do I have than be lonely
While I long for you
I have nostalgia and sadness
be happy, 't fail me
Because I still so long for you
My day, starting with thoughts of you
The happiness I have ever known
My day lasts twice as long without you
So being alone, nobody around me, I never touch
accustomed
refr"
Corry Konings,Wacht Op Mij,,,"Come with me tonight
Come with me tonight
All my heart waiting for you because I love you
Anyway free tonight
Come with me tonight
Come with me tonight
Cause you know I never forget
What you said to me
I always think of you
Because your love is faithful
Do not say no if I could ask you this again
Come with me tonight
Come with me tonight
Because my heart is still free only for you
I saw you once
I remember when
Your eyes looked at me with love in
You brought me home
But then I had never expected
You already let me stand at one time
I always think of you
Because your love is faithful
Do not say no if I could ask you this again
Come with me tonight
Come with me tonight
Because my heart is still free only for you
Come with me tonight"
Corry Konings,Voor Jou,,,"You feel my insecurity
You say ""it life is a struggle
'T Is also a good wrong'
You've taught me that
You're always positive
You're so sweet
never speaks of another evil
Your friendship is worth much
refr .:
For you I make a beautiful rainbow
For you are all those stars never too high
For you a thousand roses are not enough
I make the gray sky blue
I do it all for you
You often say ""have the time
Van 't tired and lonely
Do not be ashamed, there comes a day
Then I hear you laugh again ""
Luckily I met you
That makes every day good
I can now everything again
And together continue
Refr. (2x)
I make the gray sky blue
I do it all for you"
Corry Konings,Het Kan Niet Altijd Even Goed Gaan,,,
Corry Konings,Blijf Altijd Bij Me,,,"La la la la lalaa
La la la la lalaa
La la la la lalaa
La la la laa
I've been waiting for you
You have brought happiness
'K Knew you'd come
Now I'm yours
Loneliness is over
You are again close to me
yet never leave me
Do not leave me alone
'K Keep yours alone
I always stay true
""I pray for you waiting
'T Have been lucky
La la la la lalaa
La la la la lalaa
La la la la lalaa
La la la laa
Loneliness is over
You are again close to me
yet never leave me
Do not leave me alone
'K Keep yours alone
I always stay true
""I pray for you waiting
'T Have been lucky
La la la la lalaa
La la la la lalaa
La la la la lalaa
La la la laa
La la la la lalaa
La la la la lalaa
La la la la lalaa
La la la laa
Here take Corry and Rekels goodbye to you
But I would briefly my band to you
to ask
Accordion Jos van Zundert
Battle Guitar Jack Wagtmans
Andre 'de Jong solo and bass
And Kees Dekker on drums
And of course we do not forget our singer
You know them after all
All, Corry
La la la la laa"
Corry Konings,Achter De Horizon,,,"Clouds, obscuring the sun
Wind blows through the streets, trees bend crooked
Shadows behind windows
People take shelter together
News tells of war and grief
Refr1 .:
As the night disappears and the sun shines
I know, I feel, in dark times
Also comes to an end
Storm pounds city in frenzy
deserted squares, the fire roars past
A tree is turned
Wind gusts in addition
On the horizon dawns a new day
Refr1
Refr2 .:
As the night disappears and the sun shines
I know, I feel, to war and suffering
Also comes to an end
The sun is shining and people sound happy
Kind'ren play together, even waving at me
The newspaper with big headlines:
""Shall we stop eind'lijk '
A morning without war and sorrow
Refr.1
Refr.2
Refr.1
Refr.2
Refr.1"
Jannes,Zwevend Naar 't Geluk,,,"I wish I could float on the wind
Far away
T to paradise
Happy as a child
And with my wings I waved to you
On a cloud
Or the most beautiful sunburst
Only for you
Ideally I asked
Make you go along
Come fly with me on land and sea
The wind that brings us to the happiness
Without one goal of no return
But only with you
With you
Beneath my wings I gave you a home

What are you happy
Your own house
I have to travel often only gone
Without you
But I came back
You were too far away
Ideally I asked
Make you go along
Come fly with me on land and sea
The wind that brings us to the happiness
Without one goal of no return
But only with you
With you
The wind that brings us to the happiness
No return no turning back
But only with you
With you
With you"
Jannes,In Gedachten Fluister Ik Jouw Naam,,,"[Lyrics from ""My Son"" ft. Janne Schra]

[Verse 1: Fresku]
I do not know who I am with son
But I do not know who I am without you
I'm looking for a miracle, and I'm not losing
So we kneel and pray for a miracle now
Maybe I did not pray often enough
It's making me crazy, but I'm looking for a reason
State it so written? How many tears should I give?
How much should a father's heart can endure in this life?
But your power to make me fight as well strong
Never give your dad the courage
My heart as heavy as a brick
But since day one is your father remained cool
I pick up small little hand, he does not stop vibrating
Your eyes are closed, but your heart does not stop to
I post a message, ""Please people, do not stop praying""
And later thousands of loving messages
You're the proof, love brings people together
A few days, boy, many people think of you
They say my son did the will of his father
But I fear I break myself, never been afraid

[Pre-Chorus: Fresku]
I've never been so scared
But fighting for me, boy, is nothing more than your mind
I've never been so scared
But fighting for me, boy

[Chorus: Janne Schra]
Fight for your mother, your father fought for
Fight for love, fighting for the world
Fight for your life and not give up
You have to fight, my son
My son

[Verse 2: Fresku]
I hold my heart, watching your heartbeat
What would your chances as it was at the doctor?
My head which takes wrong turn
Became sick 's idea, and my heart broke
Light in my head, sometimes my hope is also to get away
Because nothing is promised except where you fight against
Fight for me, little prince, your journey begins
And now give you everything for gaining the greatest warrior
And we do not win without a fight
But great creator, I beg you, my children
Thoughts gloomy, secluded
All black and dark feel strapped me
Stay here with Dad, I can not do without
The world thinks you're all special now
Your mother whispers in your ear, she says, ""Wake up""
When I'm with your sisters, I have worn me great
And when I hide my eyes tears on the toilet
People start asking me a lot
And can not be strong if I have to talk about it
I tell your mother, ""I'm sure he has everything""
But I fear I break myself, never been afraid

[Pre-Chorus: Fresku]
I've never been so scared
But fighting for me, boy, is nothing more than your mind
I've never been so scared
But fighting for me, boy

[Chorus: Janne Schra]
Fight for your mother, your father fought for
Fight for love, fighting for the world
Fight for your life and not give up
You have to fight, my son
My son"
Jannes,n Gebroken Hart,,,
John de bever,,,,
John west,,,,
Marianne Weber,Al Jouw Woorden Zijn Teveel,,,
Jacques Herb,Manuela,,,"(Manuela
Manuela)
I was alone with her
We looked at each other
We spoke of love
It was so beautiful
It seemed like a dream night
I did not expect that
She looked at me and said:
""When this is over?""
Luck was then close
I remember what she said
""I rely on you
Bring me now home soon ""
Manuela
Manuela
Manuela
Manuela
We drove through the night
The radio softly
It could not be better
It seemed an eternal chorus
I was so confused
And suddenly was speeding
She laughed at me
But when it was over
A car was coming
It's gone so fast
What I have through my fault
To her?
Manuela
Manuela
Manuela
Manuela
She lay seriously injured
A smiling mouth
As if she wanted to say:
""It was not you""
It was an accident
Yet my life is broken
I pray to God that he
It returns to me
The doctors fight through
They do not know which
What I have through my fault
To her?
Manuela
Manuela
Manuela
Manuela
Manuela
Manuela
Manuela
Manuela Manuela"
Jacques Herb,n Man Mag Niet Huilen,,,"A man must not cry by Jacques Herb
IF YOU YOUR WOMAN HAS LEFT
WHERE YOU MUCH LOVE
AND FRIENDS HATE YOU GO
FOR A LITTLE MISTAKE
THEN DO YOU SOMETIMES VERY OWN ANYTHING YOU LET GO
YOUR EYES ARE WET
AND SUDDENLY YOU FEEL A TEAR

A MAN BUT DO NOT CRY
ALTHOUGH HE SORROW
NO, A MAN CAN NOT CRY
IF IT ANOTHER LOOK
HE SHOULD ALL FORGET
AND IS NEVER LET GO
NO, A MAN CAN NOT CRY
EVEN NO TEAR

YOU HAVE YEARS dating a girl OFF YOUR STREET
AND YOU ARE GOING TO LOVE HER
BUT IT'S TOO LATE
SUDDENLY SHE HAS ANOTHER
AND THEY LOOK YOU NOT TO
THEN IT IS YOU TO YOU FEEL POWERFUL AND SUDDENLY A TEAR

Dearest THE WORLD
WHAT YOU EVER HAD
Which is quite YOUR MOTHER
YOU 'T MOST ADORED
SUDDENLY GET TO HEAR
THEY departed
THEN IT IS YOUR TOO MUCH
AND SUDDENLY YOU FEEL A TEAR

A MAN BUT DO NOT CRY
ALTHOUGH HE SORROW
NO, A MAN CAN NOT CRY
IF IT ANOTHER LOOK
HE SHOULD ALL FORGET
AND IS NEVER LET GO
NO, A MAN CAN NOT CRY
EVEN NO TEAR"
Frans Bauer,Trein Naar Niemandsland,,,"There ride a train to nowhere
He is on his way to the promised land
And on the way you can hear the angels sing
'T Seems a dream that heavenly singing
If terminal: Paradise
The card is a way
There you ever go well find peace
As one gets here by proof
There ride a train to nowhere
Where the hell fire for no fire
Only one flame will warm everyone
It is the love you crave
The parting does every pain
You would love to be with that person
What remains are thousands of beautiful dreams
But your heart is in the last train
See the tunnel you lighten
Far to the pearly gates
There you again recognize faces
It is there where you hope to
There ride a train to nowhere
He is on his way to the promised land
And on the way you can hear the angels sing
'T Seems a dream that heavenly singing
If terminal: Paradise
The card is a way
There you ever go well find peace
As one gets here by proof
The train that stops you in Paradise"
Frans Bauer,Zie Je Al Die Zonnestralen,,,
Frans Bauer,Ik Heb Het Zo Niet Bedoeld,,,
Frans Bauer,Ga Niet Weg,,,"Give me one minute of your time
Do not go, one day you will regret
Look at me now, even very briefly to
I leave you for sure, just do not go
Give me one minute of your time
Before you disappear from my life
Why go, you just leave me
Or are you still a place for me

Give me one minute of your time
Do not go, one day you will regret
Look at me now, even very briefly to

Give me one minute of your time
Do not go, one day you will regret
Look at me now, even very briefly to
I leave you for sure, just do not go

Give me one minute of your time
Before you disappear from my life
Why go, you just leave me
Or are you still a place for me

Why go, you just leave me
Or are you still a place for me"
Django Wagner,Kali,,,"[Fresh 1]
I sat on a terrace
I did not know where you were
When you came beyond
And you did not even look at me
What have I done
What went wrong
You are to me the true
The only one for me

[Chorus]
Kali, I miss you, Kali
Most beautiful woman of my dreams
I love you, from you!
Kali, my dearest Kali
I want to share with you all
I love you

[Verse 2]
You went with my best friend
Where had I deserved to
You got what you wanted to do
But now I'm standing in the cold
I ask you again
Try again
You are to me the true
The only one for me

[Refrein / outro]
Kali, I miss you, Kali
Most beautiful woman of my dreams
I love you, from you!
Kali, my dearest Kali
I want to share with you all
I love you
Kali, my dearest Kali
I want to share with you all
I love you
Only yours"
Django Wagner,Liefde,,,"For weeks I'm looking for her
That's the way every time
Blinded by that one woman
Pour out all my dreams in weeral
It is not fair that I knew
Still, I give her over again
A new opportunity, but what should I do?
It makes no sense
Come dance with me the tango of love
Come dance with me tango amor
Toe stay with me because you are my whole life
What you do, I want to be close to you
Deep in thought, I hear it again
Warn me again and again that voice
Let her go, you do not deserve this
She smiles at every guy
But the feeling for me is my pain
All she does me such grief
I miss her warmth and tenderness
I want to see her ever again
Come dance with me the tango of love
Come dance with me tango amor
Toe stay with me because you are my whole life
What you do, I want to be close to you
In any love song you come over
Why do I have a lot more of you and you love me
Toe stay with me because you are my whole life
What you do, I want to be close to you
What you do, I want to be close to you"
Koos Alberts,,,,
Marianne Weber,,,,
Jeugd van Tegenwoordig(?),,,,
The Opposites,Sukkel in de liefde,,,"[Verse 1: Willy]
Six o'clock in the morning, deserted town
Call for a booty call, but nobody wants to hear r
Walk past the house of my ex
Ideally I'm with her, but the thought makes me crazy
So I like a taxi
See my sunken cheeks in the mirror
Went too hard lately

[Hook: Willy & Twan]
Sucker for love, King in the disco
Surrounded by chicks that want to hang out for the fame (suspended for the fame)
Swarm like fokking snakes around me
Tears roll down my heart so to benee
I love my pain hidden, so I laugh with them
They want to hang out for the fame (suspended for the fame)
It's actually not surprising
I'm a sucker for love, King in the disco

[Verse 2: Twan]
You said your heart was broken, right?
And that's why I gave you mine
I loved him anyway for myself?
If I knew you would disappear along
Now I walk around in an empty house
Only a mirror that looks at me
Black hole in my soul that sucks me
again collides with the city to silence
Full pride, my chest out
I do not miss you, I do not miss you, I miss you not
Yet, every step forward is related to you, you did not know
Make no mistake, I have some bad bitches hiero, and every night might be one cause I'm a

[Hook]
Sucker for love, King in the disco
Surrounded by chicks that want to hang out for the fame (suspended for the fame)
Swarm like fokking snakes around me
Tears roll down my heart so down
I love my pain hidden, so I laugh with them
They want to hang out for the fame (suspended for the fame)
It's actually not surprising
I'm a sucker for love, King in the disco

[Verse 3: Mr. Probz]
One more before the sun comes up, the nights are getting longer
Feel all slip out of my hands
The same song again and I hear nothing else
One more time before the sun rises, nights grow longer
By myself in a room full of people

[Hook]
Sucker for love, King in the disco
Surrounded by chicks that want to hang out for the fame (suspended for the fame)
Swarm like fokking snakes around me
Tears roll down my heart so down
I love my pain hidden, so I laugh with them
They want to hang out for the fame (suspended for the fame)
It's actually not surprising
I'm a sucker for love, King in the disco"
Ramses,Laat Me,,,"[Verse 1: Sams]
I take a sip of that Liqa because we come off tonight
If they call, we are not there, because tonight I hang on
It's late but I'm not ready I have a bubbly and a cup. My head is zweefie by which Liqa put it down and pick it up
Would not all my time get waxed
But since you could [?] Party pull up'm there at your party
Do not respond to your messages, but you know I read
All these ladies have nothing on me
So go along and get free tonight
The only thing on my mind is you, because you're the papito want nothing more

[Chorus]
Baby you're so fine I want you to kiss me [?]
I'm sure this must be
Put your body on mine baby I swear so nice
I'm on a tropiche vibe. Come as bp he brings tropiche lines
I come to a tropiche trip so I'm [?] Or I'm filled at that price

[Pre-Chorus 1]
so nice
so nice
so nice
so nice
so nice
so nice
so nice

[Verse 2: Debiasi]
Oh my day, oh darling. I stay darkling. I voquer go into town. If I hear anything about you I've often said. That if maybe what happened I'll tell you later. Movie in the morning put the cards away. Do you hear from me what you want to know what [?]. Because it may not always be true. Let me correct a hairline. I want to be with you alone with her. I want to be with you alone with her

[Chorus]
Baby you're so fine I want you to kiss me [?]. I'm sure this must be so. Put your body on mine baby I swear so nice. I'm on a tropiche vibe. Come as bp he brings tropiche lines
I come to a tropiche trip so I'm [?] Or I'm filled at that price

[Pre-Chorus 2]
Why
Why
Why
Why
Why
Why
Why"
Ramses,Zing - Vecht - Huil - Bid - Lach - Werk en Bewonder,,,
Ramses,We Zullen Doorgaan,,,
Frank Boeijen,Zeg me dat het niet zo is,,,"[Chorus]
Tell me it is not so
Tell me it is not so
Tell me it is not true

Tell me it is not so
Tell me it is not so
Tell me it is not true

[Verse 1]
are you coming this evening
In our favorite restaurant?
A table for two
I called
They know it
And we drink
Until the sun comes
And we forget
The unfairness of fate

[Chorus]
Tell me it is not so
Tell me it is not so
Tell me it is not true

Tell me it is not so
Tell me it is not so
Tell me it is not true

[Verse 2]
Let's go
Put on your coat
Otherwise it will be too late
Come here, I hold you, I'll never let you go
And I tell you a joke that makes you cry with laughter
And we forget the eyes of the people in the city

We pretend it is not so
As if it is not so
As if it's not true

We pretend they just continue living
Like she just lives on
Even if it is not so"
Frank Boeijen,Vaderland,,,"It is fair in hell
It rains while the sun shines
On the other side of the world
How could it be at home?
The sun broke the horizon
The waves keep coming
The palm trees along the beach
The fishermen in their boats
Traveling keep you moving
But now you dwell remained
Now keep your stop
In the past
homeland wetlands
Fatherland without father
Now that I think of you so far away
Where it rains in the water
A man kneels in the mosque
And somewhere a rooster is crowing
Later the prayers begin
And everyone wakes
A mother washes her child
In the foaming water
The fishermen go back
With stories for later
Traveling keep you moving
But now you dwell remained
Now keep your stop
In the past
homeland wetlands
Fatherland without father
Now that I think of you so far away
Because of the rain water through the
Clouds country gray land
Winterland skate country
Bomenland slot country
Green country proud land
And the sun will again undergo here
Then the sky on fire
Can you see the smoke you can see the smoke
There in my
fatherland motherland
Fatherland without father
Now that I think of you so far away
Because of the rain water through the
fatherland motherland
homeland homeland
Rain Country flatland
Rich country small country
Polderland new country
Promised Land limbo
Vacant land iceland
Sandland rivierenland
Zeeland sand land
Narrow country clog land
Molenland farmland
City Country roads Country
Boggy pasture land
Coast Land tulip country
Country clay dike land
Maasland floodplains
Lowland herring country
Dunes Country efficient land
Coffee Country cheese country
Amsterdam Rotterdam
Hol land of country
Wet land cold country
My country your country
Our country
Native country"
Frank Boeijen,Als Schelpen In Het Zand,,,"And the wind blows
The thoughts away
The turtle drinking tears
The country so far

Where the father is gone
Beyond the horizon
Like a swallow ascended
He left with a smile

In the night he appears
The eyes open so wide
In the morning he disappears
The rays of the sun

It's written in my heart
That long last day
When we were back together
If shells in the sand

The monk expresses his prayers
For the restless soul
Who can not find the sky
By can not see the clouds

There are countless questions
Written in the air
If the wind is blowing
The answer comes back

All that is described
The water in the fire
If the fear is gone
In the last hour

It's written in my heart
That long last day
When we were back together
If shells in the sand"
Frank Boeijen,Gras,,,"I lost my mother a hundred times
in dreams
in winters
A stone city
Other children born of her
And father
Trembling had loved

But a hundred times
I won her back
Sprawled over in just green grass
It breathed and labored or ill
Rippled like a song
And wavy was forever

Be gentle
Be endlessly
One and all arms
grass Mother
mother Grass
trembling compassion

Behind us, the people sky red
The clouds sailing
The birds hover
Teach me too much to live with a heart
Until I can clear both in your lap

But a hundred times
I won her back
Sprawled over in just green grass
It breathed and labored or ill
Rippled like a song
And wavy was forever"
Frank Boeijen,Avond,,,"Street barking dogs
Before night falls
I'm hungry and get drunk
In an unfamiliar city
This cafe is open day and night
That says a woman next to me
The story of her life
Similar to yours
She looks like you
And here goes the devil's drink
Take her to the promised land
Rent a room with flowers on the wallpaper
Don Quixote is Don Juan
Don Quixote is Don Juan
I suggest to eat
Somewhere in Ghent
We walk on the cobbles
Let me forget who I am
Across the city hangs this dark silence
That might suit us
And to table singing a singer
A reminder
A memory
Later, an open door is smashed
The hotel room with flowers on the wallpaper
The reward for a desperate man
Don Quixote is Don Juan
Don Quixote is Don Juan
The reward for a desperate man
Is this the reward
For a desperate man"
Frank Boeijen,De Ontmoeting,,,"Come on let's go
The bottle is empty
I'll take you home
It's safe

We have talked
After all this time
We have laughed
for errors
How it would have gone
Now it's too late

But your face
And your mouth
It is so familiar
It is unbearable
That distance
I would love
With you
Oh dear

It makes no sense
To stand still
At what happened
Do not you think

What more can I do
What more can you do
Then proceed
Continue to live
With this reminder
this madness
Come and do not stay
I let you go

But your face
And your mouth
It is so familiar
It is unbearable
That distance
I would love
With you
Oh dear

your arms
And your eyes
It is so familiar
It is unbearable
That distance
I would love
With you
Oh dear"
Frank Boeijen,Twee Mannen Zo Stil,,,"Two men so quiet
Hand in hand
At a funeral
From a friend
Give a handkerchief
Tell anyone
A lake of tears
Displaces time
What is grief
Is it an enemy or a friend
Come let's dance
To not go
Until the dawn
Two men so quiet
Hand in hand
Saying goodbye
From a friend
They storm the heavens
They disappear into the night
They flee and they drink
They laugh at the impotence
What is grief
Is it an enemy or a friend
Come let's dance
To not go
Until the dawn
Two men so quiet"
Roxeanne Hazes,Ik was toch je meisje,,,"[Verse 1]
You still had that guy
Who had conquered me?
You were the hunter, I price
Yet you did not have enough to me
I do not need you
No, do not sit hope
You're not exactly where I'm going
What I do and let

[Pre-Chorus]
How you walk, rolled up your sleeves
Can not forget you
Anyway have you out of my head
And out of my life

[Chorus]
You called, I came
I gave, you took 't all
You begs again for a new beginning
But baby it makes no sense
I know I bitch
But what pulls you is not normal
You begs again for a new beginning
But baby it makes no sense

[Verse 2]
I was your girl?
In my memory you keep
Keep you the man I
Myself could
It's finally over
And you must promise me
Do not come after me
It's too late

[Pre-Chorus]
How you walk, rolled up your sleeves
Can not forget you
Anyway have you out of my head
And out of my life

[Chorus]
You called, I came
I gave, you took 't all
You begs again for a new beginning
But baby it makes no sense
I know I bitch
But what pulls you is not normal
You begs again for a new beginning
But baby it makes no sense

[Post-Chorus]
I was your girl?
I was your girl?
I was your girl?"
Roxeanne Hazes,Judaskus,,,"[Verse 1]
Your lips on my mouth
But I'm totally numb
I taste salty tears on my tongue
And your words haunting my mind

[Pre-Chorus 1]
That you love me, you trust me
Without a doubt in your voice
What have I done? Let myself go
No idea who I am
All I wanted was to be with you
But I think only of him, ooh

[Chorus]
I betray you with a Judas kiss
And leave our bed while you sleep
And I know I'll miss tomorrow
But I'm just too far gone

[Post-Chorus]
Tu-du-du
Tu-du-du-du
Tu-du-du-du-tu

[Verse 2]
Your eyes in my back
But I'm all for him
Too late, because I can no longer return
Even though I hear again and again voting

[Pre-Chorus]
That you love me, you trust me
And know me like no other
What have I done? Let myself go
But I know who I am again
All I wanted was to be with you
So what I do now with him? Ooh

[Chorus]
I betray you with a Judas kiss
And leave our bed while you sleep
And I know I'll miss tomorrow
But I'm just too far gone

[Post-Chorus]
Tu-du-du
Tu-du-du-du
Tu-du-du-du-tu
Tu-du-du
Tu-du-du-du
Tu-du-du-du-tu"
Roxeanne Hazes,Terug,,,"[Verse 1]
When you left, I knew
It's better for both of us
I did my thing, you did your thing
So it might just not be
Everything we then laughed
Whether it was nothing, now hurts so much
And the emptiness, you should know
Is much larger than it should have been
So I ask you now

[Chorus]
Come back in my life
Before you forget who I was
I hate it when you say
I now share the bed with another
It looks nothing like you
It strikes me as against
How does it feel here alone at night
So now I ask you again?

[Verse 2]
All silence in the room
Any questions you no longer wish
Every week, every day
All the hours I now no longer count
And if I had known then
How does it feel to be alone
Oh, I can not forget you
So I beg you, come back
Back to me, come back to me

[Chorus]
Come back in my life
Before you forget who I was
I hate it when you say
I now share the bed with another
It looks nothing like you
It strikes me as against
How does it feel here alone at night
So now I ask you again?
Come back to me"
Thijs Boontjes,Ballade Van De Moord,,,"[Verse 1: Roxanne Hazes &
Thijs Beans
]
I looked into his eyes and quickly around me
He had been waiting here, I knew right away
Already four years ago, they did not see me
Had avoided me well because it was not

[Chorus: together]
What if I say I still love you
Is it too late now to regret and remorse?
This is much shorter than eternal fidelity
Now that separates death us again

[Verse 2:
Thijs Beans
 & Roxanne Hazes]
Oh, you still never know in life how it goes
I only know it was not me promise
Oh, he reached for his pocket and pointed at me
He said: ""Rox, I'm sorry,"" when it was over

[Chorus: together]
What if I say I still love you
Is it too late now to regret and remorse?
This is much shorter than eternal fidelity
Now that separates death us again

[Bridge:
Thijs Beans
 & Roxanne Hazes]
I hear the sirens, they call my name
I can finally really let go
What if I say I still love you
Honey, what do I say?

[Outro: Together]
This is much shorter than eternal fidelity
Now that separates death us again"
Thijs Boontjes,Casablanca,,,
Anouk,Wen d'r maar aan,,,"Lyrics Anouk - ""Wen D'r But On""

[Verse 1]
You can hate me, behind my back talk
I am who I am
I remain nevertheless stand, yeah wen rd but at
Because I am who I am
They hate you and me
I have very much trouble myself
I fought too long
To those who expect a lot more than I can give
They talk about you and me
And think they know who we are
'T Reminds me anything

[Pre-Chorus]
I set up a mask
So I go through life
So no one knows me
""I pray given up

[Chorus]
I'll stay standing, yes, but wen d r to
Because I am who I am
Often unloved but unamortized
No, no, oh no
'T Reminds me anything
No, no, oh no

[Verse 2]
Often misunderstood but as it 's life
It is what it is
I laugh of sadness but'm telling you not
Ah, it's what it is
They talk about you and me
Way too many people who understand not really what I mean
Therefore, I find it difficult to just talk about my feelings
They hate you and me
And think they know who we are
It does me nothing

[Pre-Chorus]
I set up a mask
So I go through life
So no one knows me
""I pray given up

[Chorus]
I'll stay standing, yes, but wen d r to
Because I am who I am
Often unloved but unamortized
No, no, oh no
It does me nothing
No, no, oh no"
Anouk,Jij,,,"Lyrics Anouk - ""You""

[Verse 1]
With a smile and a tear
I think back to when, 'k see us stand
You looked at me, and you said
""Hey you come over here with me""
You kissed me, long and soft
And I do remember that I thought
That love was hard to find
It was a good moment, quite unexpectedly
And yes, I've often thought back
How you have loved me when

[Chorus]
Because so far I saw love
Only in my dreams
But it was nevertheless finally come my way
It appeared just all so much closer
Will never forget
Because all of a sudden, there was you
Yeah, you
you

[Verse 2]
'K was happy but never complete
And now they do, ""k hope you know it
By that smile and your beautiful skin
I look my eyes out every day
And oh, the memories of when
'K Would it exactly as redoing

[Chorus]
Because so far I saw love
Only in my dreams
But it was nevertheless finally come my way
It appeared just all so much closer
""I'll never forget it
Because all of a sudden, there was you

[Bridge]
Dear to me
Gray clouds disappear
Since then I follow where you go
My heart had never been allowed to shine
You have shown me that it all exists

[Chorus]
Yes so far I saw love
Only in my dreams
And now that it had finally come my way
It appeared just all so much closer
""I'll never forget it
There was you
Yeah, you
Baby, you
Yes you"
Anouk,Het Is Klaar,,,
Anouk,Zwart Is De Lucht,,,"Lyrics Anouk - ""Black Is The Air""

[Verse 1]
I stop, and everyone rushes past
'K touch confused and sometimes get lost
And it does not stop
For the world shouting on
Rotating around its own axis
But I do not know what

[Pre-Chorus]
And I miss myself in everything I do
And I want it back but do not know how

[Chorus]
Black is the sky
You make me
A curse and a sigh
In something I do not want to be
I wish the moon
To merge under

[Verse 2]
So I keep quiet and listen to 't black and white
I feel the sun from the past
Where I played carefree childhood
is the night
Bright and clear as glass
And think back to when everything was brilliant

[Pre-Chorus]
God I miss myself in everything I do
And I want it back but do not know how

[Chorus]
Black is the sky
Because you make me
A curse and a sigh
In something I do not want to be
I wish the moon
Perishing

[Verse 3]
And I cry and shout inside
And anyone who hears
I do not get it on my lips
What my heart has ever pierced
Always on my side
The emptiness in me

[Outro]
Black is the sky
Black is the sky"
Anouk,Ver Weg Van Jou,,,"Lyrics Anouk - ""Far Away From You""

[Verse 1]
Your first smile, the first step
It seems like it was yesterday
I let you go, for the first time only
So many things go through me
And even though the distance is large
No sea was too rough and way too high

[Chorus 1]
Because when I look at you
I see myself in you
My dear son, you do not know
How much I love you
With both eyes closed
I kiss your head
'K Feel rich now here still lies with me

[Verse 2]
And what I said sometimes
Or what I did
'T Did you ever upset
I ask only that you never forget
My heart already then so did
It was not always meant
And I hope that you've felt safe

[Chorus 2]
Because when I look at you
I see myself in you
My dear, you do not know
How much I love you
With both eyes closed
I grab you firmly
'K Feel rich now here still lies with me
Now here lies with me

[Verse 3]
Far away from you, follow your heart
I will miss you
A new start, you soon
I love you"
Claudia de Breij,Mag ik dan bij jou,,,"Lyrics of Claudia De Breij - How Can I Over To You

[Verse 1]
When the war comes
And if I need shelter
May I with you?
If there is a club
Where do I not want to hear
May I with you?
If there is a rule
What I can not meet
May I with you?
And if I have something
What I've never been
May I with you?

[Chorus]
May I take refuge in you
If nowhere else?
And if I have to cry
Dry my tears than you?
Because if I may with you
you should always with me
Come whenever you want
I like a room for free

[Verse 2]
If the storm comes
And when I'm scared
May I with you?
When night falls
And it's me too dark
May I with you?
When spring comes
And when I'm in love
May I with you?
When love comes
And I'm sure
May I with you?

[Chorus]
May I take refuge in you
If nowhere else?
And if I have to cry
Dry my tears than you?
Because if I may with you
you should always with me
Come whenever you want
I like a room for free
May I take refuge in you
If nowhere else?
And if I have to cry
Dry my tears than you?
Because if I may with you
you should always with me
Come whenever you want
'K like a room for free

[Bridge]
When the end comes
And when I'm scared
May I with you?
When the end comes
And when I'm alone
May I with you?"
